priority,unitsSold,hasSizeToken,sizeToken,hasLiquidHint,liquidCategory,nonLiquidCategory,blockedByNameTerm,Type,SKU,Name,Brands,Categories
180,0,no,,no,no,no,no,simple,2963,Shear Perfection Curver,Sunlight Supply inc.,harvesting
181,0,no,,no,no,yes,no,simple,2714,Shear Perfection Curved Trimm,Sunlight Supply inc.,Accessories
182,0,no,,yes,yes,no,no,simple,979,Serenade Garden Concentrate,NGW,pest_control
183,0,no,,yes,yes,no,no,simple,hmh01016,Sensi Grow Two-part,Advanced Nutrients,nutrients
184,0,no,,yes,yes,no,no,simple,2169,Sensi Grow A/ liter,Advanced Nutrients,nutrients
185,0,no,,yes,yes,no,no,simple,2788,Sensi Cal-Mag Xtra liter,Advanced Nutrients,nutrients
186,0,no,,no,no,no,no,simple,1037,Seedling Heat Mat - 4 Tray,Sunlight Supply inc.,propagation
187,0,no,,no,no,no,no,simple,1036,Seedling Heat Mat - 2 Tray,Sunlight Supply inc.,propagation
188,0,no,,no,no,yes,no,simple,1050,Sediment Pre-Filter Merlin GP,Nickel City Wholesale Garden Supply,Accessories
189,0,no,,yes,yes,no,no,simple,1930,Seaweed Extract 1Lt,Advanced Nutrients,nutrients
190,0,no,,yes,yes,no,no,simple,256,Scorpion Juice Lt,Advanced Nutrients,nutrients
191,0,no,,yes,yes,no,no,simple,HMH-NUT-1P7TJF,Scietetics MagCal 15,Scietetics,nutrients
192,0,no,,yes,yes,no,no,simple,3655,Scietetics GrowPowder9.0-4.0-12,Nickel City Wholesale Garden Supply,nutrients
193,0,no,,yes,yes,no,no,simple,3654,Scietetics BloomPowder4.0-14-12,Nickel City Wholesale Garden Supply,nutrients
194,0,no,,yes,yes,no,no,simple,980,Safer 3-in-1 Garden Spray RTU,NGW,nutrients
195,0,no,,yes,yes,no,no,simple,1799,SURGE PLUS 350 Gm,Nickel City Wholesale Garden Supply,nutrients
196,0,no,,no,no,no,no,simple,3590,SUNPACK® T5 HO-18,BFG,grow_lights
197,0,no,,no,yes,no,no,simple,1406,SULFUR POWDER BAG,Nickel City Wholesale Garden Supply,pest_control
198,0,no,,no,no,no,no,simple,3272,STEP/DOWN-power inverter 2000W,@Flowers-HEMP,Lighting Equipment
199,0,no,,yes,yes,no,no,simple,2430,SNS 604A Roots Veg,Nickel City Wholesale Garden Supply,nutrients
200,0,no,,yes,yes,no,no,simple,407,SNS 217C™ Mite Control,Sunlight Supply inc.,pest_control
201,0,no,,yes,yes,no,no,simple,2910,"SNS 217C spidermite con. ,",Sunlight Supply inc.,pest_control
202,0,no,,yes,yes,no,no,simple,100213,SNS 203 soil drench,Sunlight Supply inc.,pest_control
203,0,no,,no,yes,no,no,simple,3612,SHOT GUN® Repels-All,BFG,pest_control
204,0,no,,no,no,no,no,simple,1524,SE600W Ceramic HPS lamp Kit,Hortilux,grow_lights
205,0,no,,no,no,yes,no,simple,1281,SCO2R HTC Climate Control,Nickel City Wholesale Garden Supply,Environment Control
206,0,no,,no,no,yes,no,simple,3392,SANIDATE Cleansor,BFG,Environment Control
207,0,no,,yes,yes,no,no,simple,3264,Royal Gold,Nickel City Wholesale Garden Supply,nutrients
208,0,no,,no,no,yes,no,simple,379,Roxx Maxi-Plug Mat 98ct,Nickel City Wholesale Garden Supply,electrical_supplies
209,0,no,,no,no,no,no,simple,391,Roxx HydroGro,Nickel City Wholesale Garden Supply,Media
210,0,no,,no,no,no,no,simple,336,Roxx Big Dutch 6,Nickel City Wholesale Garden Supply,Media
211,0,no,,no,no,no,no,simple,385,Roxx 4x4x4 (No Hole) 6ct,Nickel City Wholesale Garden Supply,Media
212,0,no,,no,no,no,no,simple,383,Roxx 4x4x2.5 6ct,Nickel City Wholesale Garden Supply,Media
213,0,no,,no,no,no,no,simple,390,Roxx 3x3x4 8ct,Nickel City Wholesale Garden Supply,Media
214,0,no,,no,no,no,no,simple,381,Roxx 3x3x2.5 8ct,Nickel City Wholesale Garden Supply,Media
215,0,no,,no,no,no,no,simple,382,Roxx 3x3x2.5 (No Hole) 8ct,Nickel City Wholesale Garden Supply,Media
216,0,no,,no,no,yes,no,simple,3231,Round Plant Dollys 16,,accessories
217,0,no,,no,no,no,no,simple,3393,Root Cleaner 8 ./ 16Gal,BFG,misc. charges
218,0,no,,no,no,no,no,simple,3480,RollingBench 10'-13' L.w/trl,D.L. Wholesale,irrigation
219,0,no,,yes,yes,no,no,simple,1884,Rockwool Conditioner,NGW,nutrients
220,0,no,,yes,yes,no,no,simple,1184,Rock Phosphate 0 - 3 - 0 /,Sunlight Supply inc.,nutrients
221,0,no,,yes,yes,no,no,simple,3629,Roase and Flower 5 4-8-4,BFG,nutrients
222,0,no,,yes,yes,no,no,simple,hmh01938,Ripen® 0.5-7-6 Quarts,General Hydroponics,nutrients
223,0,no,,yes,yes,no,no,simple,3510,Rhizium1.6-0.7-4.5,Phive8,nutrients
224,0,no,,yes,yes,no,no,simple,3511,Rhizium element tranferr 2.5Ga,Phive8,nutrients
225,0,no,,yes,yes,no,no,simple,255,Revive Lt,Advanced Nutrients,nutrients
226,0,no,,no,no,no,no,simple,1370,Reservoir Heater 300w,NGW,irrigation
227,0,no,,no,no,no,no,simple,1369,Reservoir Heater 200w,NGW,irrigation
228,0,no,,no,no,yes,no,simple,hmh00978,Replacemnt probe for Control Wizard Accurate pH3 Meter,Replacemnt,ph_meters
229,0,no,,no,no,no,no,simple,443,Reflector Hardware (Pair),NGW,grow_lights
230,0,no,,no,no,no,no,simple,hmh00575,Reflective Mylar Rolls,Reflective Mylar,grow_tents
231,0,no,,no,no,no,no,simple,2869,Reducer Tee 1/to 3/8,Sunlight Supply inc.,irrigation
232,0,no,,no,no,no,no,simple,2610,Reducer Fitting 1/to 3/8,Sunlight Supply inc.,irrigation
233,0,no,,no,no,yes,no,simple,1971,Rapitest 4-Way Soil Analyzer,NGW,Accessories
234,0,no,,no,no,yes,no,simple,1855,Rapidtest Digital Soil pH,NGW,Accessories
235,0,no,,yes,no,no,no,simple,1774,Rainmaker® Trigger Sprayer,Hawthorne Hydoponics LLC,irrigation
236,0,no,,no,no,yes,no,simple,3227,Rainmaker Deep Cover Mister,Hawthorne Hydoponics LLC,Accessories
237,0,no,,no,no,no,no,simple,3241,Rainmaker 4 way hose,Hawthorne Hydoponics LLC,irrigation
238,0,no,,no,no,yes,no,simple,3462,Rainmaker 2 (8 Liter),Hawthorne Hydoponics LLC,Accessories
239,0,no,,yes,no,no,no,simple,494,RainForest Vortex Sprayer,Nickel City Wholesale Garden Supply,irrigation
240,0,no,,no,no,no,no,simple,498,RainForest 66 Lid Insert Kit,Nickel City Wholesale Garden Supply,irrigation
241,0,no,,no,no,no,no,simple,499,RainForest 318 Lid Insert Kit,Nickel City Wholesale Garden Supply,irrigation
242,0,no,,no,no,no,no,simple,500,RainForest 236 Lid Insert Kit,Nickel City Wholesale Garden Supply,irrigation
243,0,no,,no,no,no,no,simple,1829,Rain Forest 36 insert Lid Kit,NGW,irrigation
244,0,no,,yes,no,no,no,simple,2688,RX Green Cloning solutions,Nickel City Wholesale Garden Supply,propagation
