base_key,handle_count,category,has_consolidated_handle,sku_match_ratio,suggested_action,handles,sample_product_names,vendors,product_types
scietetics-magcal,5,create,no,0.00,Create new variant group,scietetics-magcal|scietetics-magcal-15-gallon|scietetics-magcal-2-5gal|scietetics-magcal-5-gallon|scietetics-magcal-gallon,Scietetics MagCal|Scietetics MagCal  2.5Gal.|Scietetics MagCal 15 Gallon|Scietetics MagCal 5 Gallon|Scietetics MagCal Gallon,H Moon Hydro,simple
the-root,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,the-root-pouch-1-gallon|the-root-pouch-10-gallon|the-root-pouch-2-gallon|the-root-pouch-3-gallon|the-root-pouch-7-gallon,The Root Pouch 1 Gallon|The Root Pouch 10 Gallon|The Root Pouch 2 Gallon|The Root Pouch 3 Gallon|The Root Pouch 7 Gallon,H Moon Hydro,simple
x-flexible-duct-clamps-included,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,10-in-x-25-ft-flexible-duct-w-2-clamps-included|12-in-x-25-ft-flexible-duct-w-2-clamps-included|4-in-x-25-ft-flexible-duct-w-2-clamps-included|6-in-x-25-ft-flexible-duct-w-2-clamps-included|8-in-x-25-ft-flexible-duct-w-2-clamps-included,10 in. x 25 ft flexible duct w/ 2 clamps included|12 in. x 25 ft flexible duct w/ 2 clamps included|4 in. x 25 ft flexible duct w/ 2 clamps included|6 in. x 25 ft flexible duct W/ 2 clamps included|8 in. x 25 ft flexible duct w / 2 clamps included,H Moon Hydro,simple
apatite,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,pk-apatite|pk-apatite-2-5-gal|pk-apatite-gal|pk-apatite-qt,PK APATITE|PK APATITE 2.5 Gal.|PK APATITE Gal|PK APATITE Qt.,H Moon Hydro,grouped|simple
autumn,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,autumn|autumn-2-5-gallon|autumn-gallon|autumn-quart,Autumn|Autumn 2.5 Gallon|Autumn Gallon|Autumn Quart,H Moon Hydro,grouped|simple
backdraft-damper,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,10-in-backdraft-damper|12-in-backdraft-damper|6-in-backdraft-damper|8-in-backdraft-damper,10 in. Backdraft Damper|12 in. Backdraft Damper|6 in. Backdraft Damper|8 in. Backdraft Damper,H Moon Hydro,simple
badboy-t-lamp-fixture,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,badboy-t-5-4-ft-16-lamp-fixture-864-w|badboy-t-5-4-ft-4-lamp-fixture-216-w|badboy-t-5-4-ft-6-lamp-fixture-324-w|badboy-t-5-4-ft-8-lamp-fixture-432-w,BADBOY T-5 4 ft - 16 Lamp Fixture 864 W|BADBOY T-5 4 ft - 4 Lamp Fixture 216 W|BADBOY T-5 4 ft - 6 Lamp Fixture 324 W|BADBOY T-5 4 ft - 8 Lamp Fixture 432 W,H Moon Hydro,simple
bcuzz-growth-stimulator,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-growth-stimulator|bcuzz-growth-stimulator-1-gal|bcuzz-growth-stimulator-1-qt|bcuzz-growth-stimulator-12oz,B'Cuzz Growth Stimulator|B'Cuzz Growth Stimulator - 1 gal|B'Cuzz Growth Stimulator - 1 qt|B'Cuzz Growth Stimulator - 12oz,H Moon Hydro,grouped|simple
bcuzz-root-stimulator,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bcuzz-root-stimulator|bcuzz-root-stimulator-1-gal|bcuzz-root-stimulator-1-qt|bcuzz-root-stimulator-12-oz,B'Cuzz Root Stimulator|B'Cuzz Root Stimulator - 1 gal|B'Cuzz Root Stimulator - 1 qt|B'Cuzz Root Stimulator - 12 oz,H Moon Hydro,grouped|simple
bioroot,4,create,no,0.00,Create new variant group,bioroot-1-gal|bioroot-1-qt|bioroot-2-5-gal|bioroot-6-gal,BioRoot 1 gal|BioRoot 1 qt|BioRoot 2.5 gal|BioRoot 6 gal,H Moon Hydro,simple
