SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
90,gid://shopify/ProductVariant/42665841393738,big-bloom-liquid-plant-food-1-qt,ACTIVE,48,9,-39,30.99,,10.88,,0793094014526,0793094014526,READY_TO_UPDATE
136,,,,,7,,,,,,,0872187000261,SKIP_MISSING_IN_SHOPIFY
143,gid://shopify/ProductVariant/42665839329354,all-purpose-feeder-packs-20-ct,ACTIVE,16,16,0,5.86,,3.0,,0689076421768,0689076421768,REVIEW_DUPLICATE
143,gid://shopify/ProductVariant/42665865117770,organic-feeder-packs-20-ct,ACTIVE,16,16,0,5.86,,3.0,,0689076421768,0689076421768,REVIEW_DUPLICATE
144,,,,,3,,,,,,,0705105758374,SKIP_MISSING_IN_SHOPIFY
145,gid://shopify/ProductVariant/42665844441162,calcarb-calcium-carbonate-foliar-spray-6-oz,DRAFT,32,11,-21,19.54,,11.0,,0705105758473,0705105758473,READY_TO_UPDATE
146,,,,,1,,,,,,,0689076957359,SKIP_MISSING_IN_SHOPIFY
147,,,,,0,,,,,,,0689076465465,SKIP_MISSING_IN_SHOPIFY
1980,,,,,1,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2026,gid://shopify/ProductVariant/42665876553802,the-root-pouch-7-gallon,DRAFT,604,503,-101,5.36,,2.4,,0851856003666,0851856003666,READY_TO_UPDATE
2056,,,,,6,,,,,,,0793094017633,SKIP_MISSING_IN_SHOPIFY
2073,,,,,0,,,,,,,0691111061187,SKIP_MISSING_IN_SHOPIFY
2074,,,,,175,,,,,,,0692236142038,SKIP_MISSING_IN_SHOPIFY
2076,,,,,11,,,,,,,6911164003779,SKIP_MISSING_IN_SHOPIFY
2081,,,,,0,,,,,,,0845268004991,SKIP_MISSING_IN_SHOPIFY
352,,,,,63,,,,,,,0870883008017,SKIP_MISSING_IN_SHOPIFY
354,,,,,0,,,,,,,0075700160043,SKIP_MISSING_IN_SHOPIFY
355,,,,,0,,,,,,,0757900160081,SKIP_MISSING_IN_SHOPIFY
356,,,,,0,,,,,,,0757900160166,SKIP_MISSING_IN_SHOPIFY
357,,,,,0,,,,,,,0757900160326,SKIP_MISSING_IN_SHOPIFY
359,,,,,1,,,,,,,0895474002007,SKIP_MISSING_IN_SHOPIFY
362,,,,,2,,,,,,,0870883002077,SKIP_MISSING_IN_SHOPIFY
440,,,,,14,,,,,,,0793094041157,SKIP_MISSING_IN_SHOPIFY
442,,,,,134,,,,,,,0691111177022,SKIP_MISSING_IN_SHOPIFY
533,gid://shopify/ProductVariant/42665855385674,gardening-indoors-with-cuttings,ACTIVE,7,4,-3,14.61,,8.97,,9781878823205,9781878823205,READY_TO_UPDATE
560,gid://shopify/ProductVariant/42665856630858,humboldt-honey-es-5-gal,DRAFT,2,2,0,164.70,,42.12,,0837654466537,0837654466537,NO_CHANGE
587,gid://shopify/ProductVariant/42665862004810,mayan-microzyme-4-oz,DRAFT,30,30,0,19.55,,10.0,,0837654478806,0837654478806,NO_CHANGE
614,gid://shopify/ProductVariant/42665859842122,humboldt-micro-5-gal,DRAFT,0,0,0,155.54,,79.56,,0837654466148,0837654466148,NO_CHANGE
364,,,,,3,,,,,,,0689001390046,SKIP_MISSING_IN_SHOPIFY
1981,,,,,1,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2027,gid://shopify/ProductVariant/42665876914250,the-root-pouch-10-gallon,DRAFT,57,14,-43,6.12,,2.76,,0851856003673,0851856003673,READY_TO_UPDATE
2045,,,,,0,,,,,,,0845268003758,SKIP_MISSING_IN_SHOPIFY
2057,gid://shopify/ProductVariant/42665852797002,floranectar-coconut-1-qt,DRAFT,15,0,-15,22.99,,10.5,,0793094017626,0793094017626,READY_TO_UPDATE
2072,,,,,5,,,,,,,0845268003826,SKIP_MISSING_IN_SHOPIFY
2075,,,,,0,,,,,,,36906131346416,SKIP_MISSING_IN_SHOPIFY
2077,,,,,0,,,,,,,0617993000216,SKIP_MISSING_IN_SHOPIFY
2083,,,,,28,,,,,,,0856372001400,SKIP_MISSING_IN_SHOPIFY
15,gid://shopify/ProductVariant/42665860759626,liquid-karma-qt,DRAFT,11,10,-1,35.09,,20.0,,0757900200329,0757900200329,READY_TO_UPDATE
16,gid://shopify/ProductVariant/42665860726858,liquid-koolbloom-1-gal,DRAFT,4,0,-4,84.50,,46.5,,0757900201289,0757900201289,REVIEW_DUPLICATE
16,gid://shopify/ProductVariant/42665860792394,liquid-karma-gal,DRAFT,4,0,-4,84.50,,46.5,,0757900201289,0757900201289,REVIEW_DUPLICATE
18,,,,,1,,,,,,,0757900233204,SKIP_MISSING_IN_SHOPIFY
19,,,,,3,,,,,,,0757900113209,SKIP_MISSING_IN_SHOPIFY
20,,,,,0,,,,,,,0757900103200,SKIP_MISSING_IN_SHOPIFY
21,,,,,6,,,,,,,0757900093204,SKIP_MISSING_IN_SHOPIFY
23,,,,,1,,,,,,,0625664750070,SKIP_MISSING_IN_SHOPIFY
24,,,,,0,,,,,,,0757900106409,SKIP_MISSING_IN_SHOPIFY
25,,,,,0,,,,,,,0757900116408,SKIP_MISSING_IN_SHOPIFY
26,,,,,0,,,,,,,0757900096403,SKIP_MISSING_IN_SHOPIFY
27,,,,,12,,,,,,,0659627014046,SKIP_MISSING_IN_SHOPIFY
28,,,,,13,,,,,,,0659627014053,SKIP_MISSING_IN_SHOPIFY
327,gid://shopify/ProductVariant/42665842933834,biothrive-grow-2-5-gal,DRAFT,11,3,-8,151.93,,55.12,,0793094051248,0793094051248,READY_TO_UPDATE
331,,,,,4,,,,,,,0719812013428,SKIP_MISSING_IN_SHOPIFY
332,,,,,1,,,,,,,4965280665188,SKIP_MISSING_IN_SHOPIFY
