ProductID,Handle,SKU,Existing,Incoming
gid://shopify/Product/8043111088202,flavor-ful,hmh00410,DRAFT,ACTIVE
gid://shopify/Product/8043109417034,flavor-ful,hmh00411,DRAFT,ACTIVE
gid://shopify/Product/8043111219274,flavor-ful,hmh00412,DRAFT,ACTIVE
gid://shopify/Product/8043111350346,flavor-ful,hmh00413,DRAFT,ACTIVE
gid://shopify/Product/8045757071434,verde-growth-catalyst-bundle,hmh00414,DRAFT,ACTIVE
gid://shopify/Product/8045757071434,verde-growth-catalyst-bundle,hmh00415,DRAFT,ACTIVE
gid://shopify/Product/8043119050826,oneness-5-9-4,hmh00375,DRAFT,ACTIVE
gid://shopify/Product/8043116888138,oneness-5-9-4,hmh00376,DRAFT,ACTIVE
gid://shopify/Product/8043117576266,oneness-5-9-4,hmh00377,DRAFT,ACTIVE
gid://shopify/Product/8043117740106,oneness-5-9-4,hmh00378,DRAFT,ACTIVE
gid://shopify/Product/8043116691530,oneness-5-9-4,hmh00379,DRAFT,ACTIVE
gid://shopify/Product/8043120885834,mayan-microzyme,hmh00346,DRAFT,ACTIVE
gid://shopify/Product/8043121016906,mayan-microzyme,hmh00347,DRAFT,ACTIVE
gid://shopify/Product/8043120951370,mayan-microzyme,hmh00416,DRAFT,ACTIVE
gid://shopify/Product/8043120984138,mayan-microzyme,hmh00418,DRAFT,ACTIVE
gid://shopify/Product/8043120918602,mayan-microzyme,hmh00417,DRAFT,ACTIVE
gid://shopify/Product/8043120787530,mayan-microzyme,hmh00419,DRAFT,ACTIVE
gid://shopify/Product/8043127734346,prozyme,hmh00420,DRAFT,ACTIVE
gid://shopify/Product/8043122327626,myco-madness-soluble,hmh00423,DRAFT,ACTIVE
gid://shopify/Product/8043122294858,myco-madness-soluble,hmh00424,DRAFT,ACTIVE
gid://shopify/Product/8043122196554,myco-madness-soluble,hmh00425,DRAFT,ACTIVE
gid://shopify/Product/8043122262090,myco-madness-soluble,hmh00426,DRAFT,ACTIVE
gid://shopify/Product/8043122458698,myco-maximum-granular,hmh00427,DRAFT,ACTIVE
gid://shopify/Product/8043122360394,myco-maximum-granular,hmh00428,DRAFT,ACTIVE
gid://shopify/Product/8043122393162,myco-maximum-granular,hmh00429,DRAFT,ACTIVE
gid://shopify/Product/8043116265546,humboldt-honey-hydro-carbs,hmh00430,DRAFT,ACTIVE
gid://shopify/Product/8043115937866,humboldt-honey-hydro-carbs,hmh00431,DRAFT,ACTIVE
