metric,value
Total Products,1455
Total Variants,2145
Active Products,777
Draft Products,678
Archived Products,0
% Variants Missing SKU,8.72%
Variants with Blank/Zero Price,0
Archived/Draft with Inventory,537

metric,value
PROBLEM SHORTLIST (first 300),
product_handle / variant_id / sku,status | price | total_inv | target_loc_inv
can-fan-4-standard-output-142-cfm | gid://shopify/ProductVariant/42665845751882 | hmh00791,DRAFT | 119.47 | 6 | 6
can-fan-4-high-output-178-cfm | gid://shopify/ProductVariant/42665845850186 | hmh00792,DRAFT | 152.05 | 5 | 5
camg-1-qt | gid://shopify/ProductVariant/42665845882954 | hmh00253,DRAFT | 24.31 | 28 | 28
can-50-pre-filter | gid://shopify/ProductVariant/42665845915722 | hmh00717,DRAFT | 12.22 | 1 | 1
carbo-blast-300g | gid://shopify/ProductVariant/42665846014026 | hmh01351,DRAFT | 23.99 | 7 | 7
demeters-destiny-gallon | gid://shopify/ProductVariant/42665846145098 | hmh01388,DRAFT | 58.65 | 6 | 6
decision-2-5-gallon | gid://shopify/ProductVariant/42665846112330 | hmh01448,DRAFT | 402.00 | 3 | 3
diamond-black-2-5-gal | gid://shopify/ProductVariant/42665846374474 | hmh00684,DRAFT | 402.00 | 3 | 3
diy-autoflowering-cannabis-by-jeff-lowenfels | gid://shopify/ProductVariant/42665846341706 | (blank),ACTIVE | 24.95 | 0 | 0
cloudlab-866-advance-grow-tent-60-x-60-x-80 | gid://shopify/ProductVariant/42665846440010 | (blank),ACTIVE | 219.00 | 0 | 0
diamond-nectar-1-qt | gid://shopify/ProductVariant/42665846276170 | hmh00199,DRAFT | 18.19 | 20 | 20
chemdog-feminized-5-seed | gid://shopify/ProductVariant/42665846603850 | (blank),ACTIVE | 45.00 | 0 | 0
clearex-qt | gid://shopify/ProductVariant/42665846538314 | hmh01181,DRAFT | 14.66 | 9 | 9
clearex-gal | gid://shopify/ProductVariant/42665846505546 | hmh01182,DRAFT | 45.00 | 4 | 4
carboload-1-gal | gid://shopify/ProductVariant/42665846571082 | hmh01037,DRAFT | 65.98 | 4 | 4
double-super-b-1-liter | gid://shopify/ProductVariant/42665846636618 | hmh00329,DRAFT | 27.98 | 21 | 21
down-to-earth-fish-bone-meal-6-lb | gid://shopify/ProductVariant/42665846669386 | hmh01814,DRAFT | 42.95 | 1 | 1
centurion-pro-tabletop-trimming-machine-wet-or-dry | gid://shopify/ProductVariant/42665846833226 | (blank),ACTIVE | 2999.00 | 0 | 0
decision-gallon | gid://shopify/ProductVariant/42665846997066 | hmh01447,DRAFT | 203.88 | 13 | 13
decision-quart | gid://shopify/ProductVariant/42665847259210 | hmh01446,DRAFT | 67.08 | 11 | 11
diamond-black-1-gal | gid://shopify/ProductVariant/42665847324746 | hmh00256,DRAFT | 52.95 | 6 | 6
clonex-mycorrhizae-root-maximizer-4-oz-soluble-2 | gid://shopify/ProductVariant/42665847226442 | hmh01752,DRAFT | 30.00 | 16 | 16
demeters-destiny-quart | gid://shopify/ProductVariant/42665847160906 | hmh01387,DRAFT | 19.55 | 13 | 13
diamond-black-6-gal | gid://shopify/ProductVariant/42665847554122 | hmh00685,DRAFT | 52.95 | 6 | 6
diamond-black-1-qt | gid://shopify/ProductVariant/42665847357514 | hmh00255,DRAFT | 16.98 | 26 | 26
double-super-b-10-liter | gid://shopify/ProductVariant/42665847390282 | hmh00331,DRAFT | 206.23 | 4 | 4
can-fan-6-high-output-440-cfm | gid://shopify/ProductVariant/42665847423050 | hmh00794,DRAFT | 182.45 | 4 | 4
cloudray-s9-gen-2-grow-tent-clip-fan-9 | gid://shopify/ProductVariant/42665847455818 | (blank),ACTIVE | 38.00 | 0 | 0
dli-diode-series-led-toplighting-led-fixture-long | gid://shopify/ProductVariant/42665847488586 | (blank),ACTIVE | 799.00 | 0 | 0
clonex-mycorrhizae-root-maximizer-4-oz-soluble | gid://shopify/ProductVariant/42665847717962 | hmh01749,DRAFT | 30.00 | 16 | 16
clonex-solution-gallon | gid://shopify/ProductVariant/42665847783498 | hmh01357,DRAFT | 77.00 | 6 | 6
