product_id,product_handle,product_title,product_status,product_vendor,product_type,variant_id,variant_title,sku,barcode,price,compare_at_price,cost_amount,cost_currency,inv_total_all_locations,inv_at_target_location,inv_detail_json
gid://shopify/Product/8043093229642,3-8-in-tubing-white-500-ft-roll,3/8 in. TUBING WHITE (500 FT. ROLL),ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819603018,Default Title,hmh00943,0121110116211,16.95,,,,8,8,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":8}]"
gid://shopify/Product/8043093262410,3-8-in-tubing-blue-500-ft-roll,3/8 in. TUBING BLUE (500 FT. ROLL),DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819635786,Default Title,hmh00944,0121110116211,16.95,,,,8,8,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":8}]"
gid://shopify/Product/8043093295178,315-chm-3k-greenpower-luminaires,315 CHM 3K GREENPOWER LUMINAIRES,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819668554,Default Title,hmh01717,,89.00,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043093721162,4-in-hose-clamps,4 in. hose clamps,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665821143114,Default Title,hmh00803,0847127001646,10.06,,5.13,USD,2,2,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":2}]"
gid://shopify/Product/8043093753930,4-ft-laser-drilled-sprayline,4 ft laser Drilled Sprayline,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665821274186,Default Title,hmh00491,0793094980043,9.50,10.72,5.83,USD,7,7,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":7}]"
gid://shopify/Product/8043093786698,4-in-air-cooled-fittings-2-pk,4 in. Air Cooled Fittings (2/pk),ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665821175882,Default Title,hmh00522,0691111164972,17.55,,9.5,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043093819466,315-chm-4k-greenpower-luminaires,315 CHM 4K GREENPOWER LUMINAIRES,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665821208650,Default Title,hmh01708,0850016034212,99.99,,36.0,USD,10,10,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":10}]"
gid://shopify/Product/8043093852234,4-in-x-25-ft-flexible-duct-w-2-clamps-included,4 in. x 25 ft flexible duct w/ 2 clamps included,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665821536330,Default Title,hmh00798,111111111111111111,66.64,,40.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043093885002,4-light-timer-120-v,4 Light Timer (120 V.),DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665821569098,Default Title,hmh00934,0741559020230,233.45,,200.0,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043093917770,4-in-site-plug-case-of-10,4 in. Site Plug (case of 10),DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665821601866,Default Title,hmh00846,0793094066228,2.10,,1.06,USD,71,71,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":71}]"
