Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
white-widow-auto-feminised-white-widow-x-ruderalis-5-seed,White Widow Auto (Feminised) White Widow x Ruderalis-5 Seed,"",H Moon Hydro,,simple,GREENHOUSE SEED,false,Title,Default Title,,,,,,,,,7.08738078125,,0,deny,manual,45.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/White-Widow-Auto_a49255b1-8f0a-46cf-9606-92f7e0681e86.jpg?v=1761679111,1,White Widow Auto Flowering,false,,,,oz,,,active
white-widow-auto-feminised-white-widow-x-ruderalis-5-seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/OIP_d33b443c-0e39-4e49-8fe7-a66fc22bd6e1.webp?v=1761679110,2,"",,,,,,,,
trimpro-replacement-grate-original-1-4,"TRIMPRO replacement grate original 1/4""","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00753,0.0,,0,deny,manual,260.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/trim-pro_24ea9daa-dd68-40ed-81a3-bb998fe120dd.jpg?v=1761679110,1,"",false,,,,lb,,,active
trimpro-rotor-replacement-motor,TRIMPRO ROTOR replacement motor,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00769,0.0,,0,deny,manual,395.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/trim-pro-rotor_03b25259-6a93-4283-b74e-9adecda2b970.jpg?v=1761679110,1,"",false,,,,lb,,,active
4of32-wonder-pie-feminised-wedding-cake-x-og-kush-5-seed,Wonder Pie (Feminised) Wedding Cake x OG Kush/ 5 Seed,"",H Moon Hydro,,simple,GREENHOUSE SEED,false,Title,Default Title,,,,,,,,,7.08738078125,,0,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/GHSC_WonderPie.jpg?v=1761679110,1,"",false,,,,oz,,,active
vortex-4-in-172-cfm,"Vortex 4 in., 172 cfm","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00774,198.446661875,,0,deny,manual,168.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/vortex_powerfans_a83ebb52-ff06-48a6-a868-f41dfaa06b7a.jpg?v=1761679110,1,"",false,,,,oz,,,active
trimpro-rotor-work-station-w-rotor,TRIMPRO ROTOR Work Station w/ Rotor,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00766,850.48569375,,0,deny,manual,2050.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/trim-pro-rotor.jpg?v=1761679110,1,"",false,,,,oz,,,active
uno-8-big-boy-a-c-reflector,"UNO 8"" Big Boy A/C Reflector","",H Moon Hydro,,simple,"UNO 8"" Big Boy A/C Reflector",false,Title,Default Title,,,,,,,,hmh01268,1700.9713875,,0,deny,manual,89.99,269.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/RHX-HGXXX8air-cool-reflector-2.jpg?v=1761679110,1,"",false,,,,oz,,,active
uno-8-big-boy-a-c-reflector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO8-in-pipper.jpg?v=1761679111,2,"",,,,,,,,
vortex-8-in-747-cfm,"Vortex 8 in., 747 cfm","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00776,0.0,,0,deny,manual,270.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/vortex_powerfans.jpg?v=1761679110,1,"",false,,,,lb,,,active
